area,source_number,water_licence,source_ID,program_zone,location_LSD,start_date,end_date,total_licensed_volume
Kearl,1,,KWS-1,K03,15-31-096-07W4,0000-00-00,0000-00-00,10000
Kearl,2,,KWS-2,K02,10-12-097-08W4,0000-00-00,0000-00-00,10000
Kearl,3,,KWS-3,K16,08-23-097-07W4,0000-00-00,0000-00-00,10000
Firebag,1,00280502,FWS-1,Firebag-F13,14-22-097-06W4,2010-12-01,2011-01-20,3500
Firebag,2,00280503,FWS-2,Firebag-F09,10-11-097-05W4,2011-01-19,2011-03-04,5000
Firebag,3,00280581,FWS-3,Firebag-F09,12-12-097-05W4,0000-00-00,0000-00-00,1500
Firebag,4,00280582,FWS-4,Firebag-F11,07-04-097-04W4,0000-00-00,0000-00-00,5000
Firebag,6,00280583,FWS-6,Firebag-F11,07-34-096-04W4,0000-00-00,0000-00-00,5000
Firebag,7,00281061,FWS-7,Firebag-F20,15-14-097-05W4,2011-01-19,2011-02-06,2500
Firebag,8,00281123,FWS-8,Firebag-F16,15-11-098-05W4,2011-01-09,2011-02-23,6000
Firebag,9,00281221,FWS-9,Firebag-F31,02-09-099-04W4,2011-02-07,2011-02-15,1500
Firebag,10,00281301,FWS-10,Firebag-F33,14-10-099-04W4,2011-02-12,2011-02-24,4500
Firebag,11,00281382,FWS-11,Firebag-F35,13-12-099-04W4,2011-02-09,2011-03-02,4500
Firebag,12,00281383,FWS-12,Firebag-F28,13-18-099-04W4,2011-02-11,2011-02-23,4500
Syncrude,1,00280261,SWS-1,Syncrude-S01,12-28-095-08W4,2010-12-20,2011-03-11,28000
Syncrude,2,00284174,SWS-2,Syncrude-S02,29-095-08W4,2010-12-31,2011-03-19,600
