area,source_number,water_licence,source_ID,program_zone,location_LSD,start_date,end_date,total_licensed_volume
Kearl,1,,KWS-1,K07,,0000-00-00,0000-00-00,30000
Syncrude,1,,SWS-001,,LSD-04 Sec-01 Twp-094 Rge-10 Mer-4,0000-00-00,0000-00-00,0
Syncrude,2,,SWS-002,,LSD-15 Sec-32 Twp-093 Rge-09 Mer-4,0000-00-00,0000-00-00,0
Syncrude,3,,SWS-003,,LSD-04 Sec-03 Twp-094 Rge-09 Mer-4,0000-00-00,0000-00-00,0
Syncrude,4,,SWS-004,,LSD-04 Sec-02 Twp-094 Rge-09 Mer-4,0000-00-00,0000-00-00,0
Syncrude,5,,SWS-005,,LSD-13 Sec-36 Twp-093 Rge-09 Mer-4,0000-00-00,0000-00-00,0
Syncrude,6,,SWS-006,,LSD-01 Sec-35 Twp-092 Rge-10 Mer-4,0000-00-00,0000-00-00,0
Syncrude,7,,SWS-007,,LSD-10 Sec-16 Twp-094 Rge-07 Mer-4,0000-00-00,0000-00-00,0
Syncrude,8,,SWS-008,,LSD-02 Sec-16 Twp-094 Rge-07 Mer-4,0000-00-00,0000-00-00,0
Syncrude,9,,SWS-009,,LSD-03 Sec-16 Twp-094 Rge-07 Mer-4,0000-00-00,0000-00-00,0
Syncrude,10,,SWS-010,,LSD-14 Sec-31 Twp-094 Rge-10 Mer-4,0000-00-00,0000-00-00,0
Syncrude,11,,SWS-011,,LSD-12 Sec-28 Twp-095 Rge-08 Mer-4,0000-00-00,0000-00-00,0
Syncrude,12,,SWS-012,,LSD-07 Sec-29 Twp-095 Rge-08 Mer-4,0000-00-00,0000-00-00,0
