source_id,description,location,permit_no,start_date,completed,reclaimed,area
KWC-001,Temporary Snowfill,LSD-06 Sec-13 Twp-097 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Kearl
KWC-002,Temporary Snowfill,LSD-06 Sec-13 Twp-097 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Kearl
KWC-003,Temporary Snowfill,LSD-07 Sec-13 Twp-097 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Kearl
KWC-004,Temporary Snowfill,LSD-08 Sec-13 Twp-097 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Kearl
KWC-005,Temporary Snowfill,LSD-03 Sec-13 Twp-097 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Kearl
KWC-006,Temporary Snowfill,LSD-09 Sec-14 Twp-097 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Kearl
SWC-001,Temporary Snowfill,LSD-07 Sec-23 Twp-093 Rge-10 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-002,Temporary Snowfill,LSD-10 Sec-06 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-003,Temporary Snowfill,LSD-09 Sec-28 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-004,Temporary Snowfill,LSD-02 Sec-28 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-005,Temporary Snowfill,LSD-11 Sec-21 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-006,Temporary Snowfill,LSD-16 Sec-14 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-007,Temporary Snowfill,LSD-11 Sec-24 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-008,Temporary Snowfill,LSD-11 Sec-24 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-009,Temporary Snowfill,LSD-05 Sec-36 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-010,Temporary Snowfill,LSD-08 Sec-14 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-011,Temporary Snowfill,LSD-14 Sec-11 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-012,Temporary Snowfill,LSD-13 Sec-10 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-013,Temporary Snowfill,LSD-16 Sec-18 Twp-093 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-014,Temporary Snowfill,LSD-08 Sec-20 Twp-093 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-015,Temporary Snowfill,LSD-10 Sec-20 Twp-093 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-016,Temporary Snowfill,LSD-09 Sec-30 Twp-093 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-017,Temporary Snowfill,LSD-13 Sec-15 Twp-093 Rge-09 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-018,Temporary Snowfill,LSD-11 Sec-27 Twp-094 Rge-07 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-019,Temporary Snowfill,LSD-13 Sec-27 Twp-094 Rge-07 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-020,Temporary Snowfill,LSD-12 Sec-34 Twp-094 Rge-07 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-021,Temporary Snowfill,LSD-07 Sec-23 Twp-094 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-022,Temporary Snowfill,LSD-14 Sec-23 Twp-094 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-023,Temporary Snowfill,LSD-16 Sec-09 Twp-095 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-024,Temporary Snowfill,LSD-01 Sec-16 Twp-095 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
SWC-025,Temporary Snowfill,LSD-02 Sec-29 Twp-095 Rge-08 Mer-4,,0000-00-00,0000-00-00,0000-00-00,Syncrude
