Date / Water Source,Kearl1,Kearl2,Syncrude1,Syncrude2,Syncrude3,Syncrude4,Syncrude5,Syncrude6,Syncrude7,Syncrude8,Syncrude9,Syncrude10,Syncrude11,Syncrude12
2013-01-24,22.50,74.00,,,,,,,,,,,,
2013-01-23,20.00,96.00,,,,,,,,,,,,
2013-01-22,46.50,97.00,,,,,,,,,,,,
2013-01-21,54.00,98.00,,,,,,,,,,,,
2013-01-20,127.50,47.00,,,,,,,,,,,,
2013-01-19,139.00,35.00,,,,,,,,,,,,
2013-01-18,198.00,33.00,,,,,,,,,,,,
2013-01-17,202.00,17.50,,,,,,,,,,,,
2013-01-16,58.00,31.00,,,,,,,,,,,,
2013-01-15,149.00,36.50,,,,,,,,,,,,
2013-01-14,51.00,0.00,0.00,0.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2013-01-13,134.00,20.50,0.00,0.00,81.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2013-01-12,301.00,40.00,,,,,,,,,,,,
2013-01-11,558.00,18.00,,,,,,,,,,,,
2013-01-10,680.00,0.00,,,,,,,,,,,,
2013-01-09,810.00,0.00,,,,,,,,,,,,
2013-01-08,690.50,0.00,,,,,,,,,,,,
2013-01-07,456.00,0.00,,,,,,,,,,,,
2013-01-06,344.25,0.00,,,,,,,,,,,,
2013-01-05,207.00,0.00,,,,,,,,,,,,
2012-12-21,270.00,0.00,,,,,,,,,,,,
2012-12-20,450.00,0.00,,,,,,,,,,,,
2012-12-19,464.00,0.00,,,,,,,,,,,,
2012-12-18,574.00,0.00,,,,,,,,,,,,
2012-12-17,277.25,0.00,,,,,,,,,,,,
2012-12-16,510.25,0.00,,,,,,,,,,,,
2012-12-15,627.00,0.00,,,,,,,,,,,,
2012-12-14,383.00,0.00,,,,,,,,,,,,
2012-12-13,442.00,0.00,,,,,,,,,,,,
2012-12-12,363.00,0.00,,,,,,,,,,,,
2012-12-11,395.50,0.00,,,,,,,,,,,,
2012-12-10,545.00,0.00,,,,,,,,,,,,
2012-12-09,508.50,0.00,,,,,,,,,,,,
2012-12-08,369.00,0.00,,,,,,,,,,,,
2012-12-07,418.25,0.00,,,,,,,,,,,,
2012-12-06,194.50,0.00,,,,,,,,,,,,
2012-12-05,283.75,0.00,,,,,,,,,,,,
2012-12-04,272.50,0.00,,,,,,,,,,,,
2012-12-03,265.75,0.00,,,,,,,,,,,,
2012-12-02,246.25,0.00,,,,,,,,,,,,
2012-12-01,266.00,0.00,,,,,,,,,,,,
2012-11-30,169.75,0.00,,,,,,,,,,,,
2012-11-29,185.75,0.00,,,,,,,,,,,,
2012-11-28,312.50,0.00,,,,,,,,,,,,
2012-11-27,459.75,0.00,,,,,,,,,,,,
2012-11-26,454.75,0.00,,,,,,,,,,,,
2012-11-25,70.75,0.00,,,,,,,,,,,,
2012-11-24,434.00,0.00,,,,,,,,,,,,
2012-11-23,55.00,0.00,,,,,,,,,,,,
2012-11-22,379.00,0.00,,,,,,,,,,,,
2012-11-21,452.00,0.00,,,,,,,,,,,,
2012-11-20,418.00,0.00,,,,,,,,,,,,
2012-11-19,441.00,0.00,,,,,,,,,,,,
2012-11-18,204.00,0.00,,,,,,,,,,,,
2012-11-17,443.00,0.00,,,,,,,,,,,,
2012-11-16,380.00,0.00,,,,,,,,,,,,
2012-11-15,361.00,0.00,,,,,,,,,,,,
2012-11-14,267.00,0.00,,,,,,,,,,,,
2012-11-13,112.00,0.00,,,,,,,,,,,,
2012-11-12,4.00,0.00,,,,,,,,,,,,
TOTAL,18977,643.5,0,0,232,0,0,0,0,0,0,0,0,0
