Date / Sump Source,Kearl1,Kearl2,Kearl3
2012-12-18,54.00,0.00,
2012-12-17,44.50,0.00,
2012-12-16,52.00,0.00,
2012-12-15,32.00,0.00,
2012-12-14,38.00,0.00,
2012-12-13,30.00,0.00,
2012-12-12,28.00,0.00,
2012-12-11,52.00,0.00,
2012-12-10,41.00,0.00,
2012-12-09,41.00,0.00,
2012-12-08,35.00,0.00,
2012-12-07,47.00,0.00,
2012-12-06,29.00,0.00,
2012-12-05,54.00,0.00,
2012-12-04,24.00,11.00,
2012-12-03,31.00,11.00,
2012-12-02,24.50,11.50,
2012-12-01,10.00,37.00,
2012-11-30,11.00,27.00,
2012-11-29,10.00,17.00,
2012-11-28,32.00,0.00,
2012-11-27,51.00,0.00,
2012-11-26,48.00,0.00,
2012-11-25,48.00,,
2012-11-24,32.00,,
2012-11-23,31.00,,
2012-11-22,9.00,,
2012-11-21,36.00,,
2012-11-20,43.00,,
2012-11-19,37.20,,
2012-11-18,53.00,,
2012-11-17,51.00,,
2012-11-16,40.00,,
2012-11-15,24.00,,
2012-11-14,17.00,,
2012-11-13,0.75,,
TOTAL,1240.95,114.5,0
