Date / Sump Source,Kearl1,Kearl2,Kearl3,Kearl4,Kearl5,Kearl6,Syncrude1
2013-03-27,,,0.00,55.00,0.00,0.00,
2013-03-26,,,0.00,41.00,0.00,3.00,
2013-03-25,,,0.00,42.00,0.00,22.00,
2013-03-24,,,0.00,25.50,0.00,8.00,
2013-03-23,,,0.00,30.50,0.00,16.00,
2013-03-22,,,0.00,25.00,0.00,11.00,
2013-03-21,,,0.00,59.00,0.00,0.00,
2013-03-20,,,3.50,44.00,0.00,0.00,
2013-03-19,,,8.00,31.00,0.00,16.00,
2013-03-18,,,4.50,15.00,0.00,13.00,
2013-03-17,,,5.00,19.00,0.00,16.00,
2013-03-16,,,0.00,27.00,0.00,6.00,
2013-03-15,,,22.00,39.00,0.00,1.50,
2013-03-14,,,0.00,34.00,0.00,0.00,
2013-03-13,,,5.00,20.00,0.00,8.00,
2013-03-12,,,5.50,17.00,0.00,6.00,
2013-03-11,,,18.50,59.00,0.00,4.00,
2013-03-10,,,5.50,24.50,0.00,0.00,
2013-03-09,,,0.00,46.50,6.50,0.00,
2013-03-08,,,26.00,56.00,0.00,0.00,
2013-03-07,,,8.00,33.00,0.00,0.00,
2013-03-06,,,0.00,0.00,0.00,0.00,21.00
2013-03-05,,,,,,,42.50
2013-03-04,,,,,,,54.00
2013-03-03,,,,,,,62.00
2013-03-02,,,,,,,57.00
2013-03-01,,,,,,,88.50
2013-02-27,,,,,,,53.00
2013-02-26,,,19.00,0.00,12.00,0.00,64.00
2013-02-25,,,10.00,0.00,0.00,0.00,14.00
2013-02-24,,,7.00,0.00,0.00,0.00,8.00
2013-02-23,,,,,,,51.50
2013-02-22,,,9.00,0.00,0.00,0.00,59.00
2013-02-20,,,,,,,33.00
2013-02-19,,,,,,,77.00
2013-02-18,,,,,,,29.00
2013-02-17,,,19.00,,,,36.00
2013-02-16,,,4.00,18.00,0.00,6.00,
2013-02-15,,,25.00,3.00,0.00,5.00,
2013-02-14,,,24.00,27.00,0.00,10.00,
2013-02-13,,,34.00,49.50,0.00,5.00,
2013-02-12,,,10.00,61.00,0.00,2.00,
2013-02-11,,,22.00,41.50,0.00,20.00,
2013-02-10,,,8.00,47.50,0.00,11.00,
2013-02-09,,,8.00,58.50,0.00,0.00,
2013-02-08,,,28.00,96.00,0.00,0.00,
2013-02-07,,,14.00,38.00,0.00,11.00,
2013-02-06,,,0.00,41.00,0.00,0.00,
2013-02-05,,,32.00,27.00,0.00,4.00,
2013-02-04,,,62.00,31.00,8.00,8.00,
2013-02-03,,,12.00,67.00,0.00,6.50,
2013-02-02,,,29.00,48.50,0.00,8.00,
2013-02-01,,,30.00,51.00,0.00,6.50,
2013-01-31,,,18.00,34.00,0.00,2.00,
2013-01-30,,,90.00,33.00,0.00,0.00,
2013-01-29,,,13.00,30.00,0.00,0.00,
2013-01-28,,,15.00,40.00,2.00,,
2013-01-27,,,77.00,59.00,10.00,,
2013-01-26,,,8.00,53.00,0.00,,
2013-01-25,,,52.00,115.50,0.00,,
2013-01-24,,,65.00,35.50,17.00,,
2013-01-23,,,5.00,34.50,0.00,,
2013-01-22,,,30.00,59.00,1.00,,
2013-01-21,,,10.00,49.00,15.00,,
